user_id,age,gender,signup_date,membership_tier
1001,50,M,2024-02-17,Silver
1002,19,F,2023-07-25,Silver
1003,43,F,2023-02-03,Platinum
1004,49,M,2024-04-12,Silver
1005,28,Non-Binary,2024-03-24,Bronze
1006,34,Non-Binary,2023-06-11,Silver
1007,41,M,2023-12-02,Bronze
1008,51,F,2023-07-22,Silver
1009,28,Non-Binary,2023-08-23,Gold
1010,33,M,2023-05-16,Gold
1011,23,M,2023-05-07,Silver
1012,20,Non-Binary,2023-10-15,Silver
1013,53,Non-Binary,2023-05-15,Bronze
1014,20,Non-Binary,2023-10-27,Gold
1015,37,F,2024-04-04,Silver
1016,58,Non-Binary,2023-07-24,Silver
1017,56,F,2023-04-23,Gold
1018,18,M,2023-09-18,Silver
1019,42,F,2023-02-16,Bronze
1020,48,M,2024-03-16,Gold
1021,52,M,2023-03-20,Bronze
1022,33,Non-Binary,2023-03-23,Gold
1023,19,Non-Binary,2023-08-05,Platinum
1024,29,Non-Binary,2023-02-02,Silver
1025,49,F,2023-07-15,Silver
1026,26,Non-Binary,2023-08-28,Bronze
1027,36,Non-Binary,2023-05-09,Silver
1028,20,Non-Binary,2024-03-16,Gold
1029,50,M,2023-12-15,Silver
1030,28,Non-Binary,2023-02-28,Gold
1031,53,Non-Binary,2024-03-29,Gold
1032,37,Non-Binary,2024-01-20,Silver
1033,42,F,2024-01-29,Silver
1034,46,Non-Binary,2023-06-24,Bronze
1035,63,M,2023-05-31,Silver
1036,52,F,2023-03-22,Silver
1037,58,F,2023-01-02,Bronze
1038,21,Non-Binary,2024-03-24,Bronze
1039,38,Non-Binary,2023-05-15,Bronze
1040,25,Non-Binary,2024-01-26,Gold
1041,34,M,2023-09-17,Bronze
1042,29,M,2024-03-21,Silver
1043,39,Non-Binary,2023-06-02,Bronze
1044,63,Non-Binary,2023-09-17,Silver
1045,55,Non-Binary,2023-04-12,Bronze
1046,25,M,2023-07-11,Silver
1047,51,M,2023-10-04,Bronze
1048,50,Non-Binary,2024-04-15,Silver
1049,50,M,2023-11-03,Bronze
1050,36,F,2023-09-08,Silver
1051,34,M,2023-02-27,Platinum
1052,47,F,2024-03-25,Platinum
1053,23,F,2023-05-03,Bronze
1054,58,M,2023-05-04,Platinum
1055,46,Non-Binary,2024-04-29,Bronze
1056,48,M,2023-02-13,Platinum
1057,50,Non-Binary,2023-09-06,Bronze
1058,38,M,2024-05-15,Bronze
1059,50,Non-Binary,2024-01-28,Bronze
1060,35,M,2023-03-07,Silver
1061,48,Non-Binary,2023-09-01,Gold
1062,20,Non-Binary,2023-03-26,Silver
1063,41,F,2023-09-28,Bronze
1064,64,Non-Binary,2023-08-05,Platinum
1065,19,M,2024-04-20,Bronze
1066,59,Non-Binary,2024-01-22,Gold
1067,34,Non-Binary,2023-12-20,Gold
1068,26,M,2024-01-01,Silver
1069,56,F,2023-07-24,Bronze
1070,43,Non-Binary,2023-11-29,Gold
1071,42,F,2023-08-13,Silver
1072,24,Non-Binary,2023-08-20,Silver
1073,62,M,2023-05-07,Bronze
1074,25,M,2023-02-02,Silver
1075,33,F,2023-01-11,Bronze
1076,40,Non-Binary,2023-10-11,Bronze
1077,51,M,2023-10-29,Bronze
1078,40,M,2023-01-04,Silver
1079,42,M,2023-12-29,Bronze
1080,39,Non-Binary,2023-01-31,Silver
1081,39,M,2023-02-04,Bronze
1082,59,M,2024-03-16,Gold
1083,60,F,2023-02-06,Bronze
1084,50,Non-Binary,2023-05-02,Gold
1085,61,F,2023-12-09,Platinum
1086,56,F,2023-04-20,Bronze
1087,62,Non-Binary,2023-03-09,Bronze
1088,47,Non-Binary,2024-04-23,Silver
1089,57,Non-Binary,2023-10-23,Silver
1090,30,F,2023-05-05,Platinum
1091,59,F,2024-02-18,Bronze
1092,34,F,2023-04-08,Bronze
1093,36,M,2023-02-19,Bronze
1094,43,Non-Binary,2023-08-09,Bronze
1095,40,F,2023-08-05,Bronze
1096,29,F,2023-08-28,Bronze
1097,18,Non-Binary,2023-01-28,Bronze
1098,49,Non-Binary,2023-12-01,Silver
1099,42,Non-Binary,2023-02-20,Silver
1100,18,M,2023-07-26,Platinum
1101,56,Non-Binary,2023-06-23,Silver
1102,22,M,2023-05-08,Silver
1103,20,M,2023-04-08,Bronze
1104,33,Non-Binary,2023-08-18,Bronze
1105,39,M,2023-08-05,Bronze
1106,31,M,2023-05-23,Bronze
1107,64,F,2023-05-08,Bronze
1108,63,M,2023-08-15,Platinum
1109,22,Non-Binary,2023-02-20,Bronze
1110,43,M,2023-11-30,Silver
1111,38,Non-Binary,2024-03-04,Bronze
1112,50,M,2024-05-11,Bronze
1113,54,M,2024-04-19,Bronze
1114,27,M,2023-03-27,Gold
1115,53,F,2023-09-06,Bronze
1116,48,F,2023-04-20,Bronze
1117,36,F,2024-04-07,Silver
1118,18,M,2023-03-26,Silver
1119,62,F,2023-01-02,Bronze
1120,41,F,2023-05-16,Gold
1121,19,F,2023-05-27,Bronze
1122,49,F,2023-12-23,Gold
1123,41,Non-Binary,2024-02-06,Silver
1124,52,Non-Binary,2023-12-05,Silver
1125,50,Non-Binary,2023-09-07,Gold
1126,60,M,2023-04-08,Gold
1127,20,F,2023-04-22,Gold
1128,57,M,2023-10-24,Gold
1129,61,Non-Binary,2023-10-05,Bronze
1130,29,M,2024-01-18,Bronze
1131,19,F,2023-01-30,Bronze
1132,52,M,2023-10-27,Bronze
1133,43,F,2023-09-15,Bronze
1134,43,Non-Binary,2023-03-22,Silver
1135,51,M,2024-05-06,Bronze
1136,24,Non-Binary,2023-02-11,Bronze
1137,62,M,2023-02-05,Gold
1138,53,Non-Binary,2023-02-04,Bronze
1139,53,Non-Binary,2024-03-17,Bronze
1140,26,M,2023-07-26,Silver
1141,52,M,2024-04-27,Platinum
1142,53,Non-Binary,2023-05-07,Bronze
1143,56,Non-Binary,2023-11-01,Silver
1144,40,M,2023-11-14,Gold
1145,54,M,2023-08-03,Bronze
1146,30,Non-Binary,2023-10-26,Silver
1147,52,Non-Binary,2023-09-25,Bronze
1148,34,F,2024-04-23,Silver
1149,37,F,2023-04-15,Gold
1150,39,Non-Binary,2024-01-02,Bronze
1151,36,F,2023-05-03,Bronze
1152,29,F,2023-07-22,Platinum
1153,36,M,2023-12-10,Bronze
1154,24,Non-Binary,2023-06-03,Platinum
1155,48,F,2023-06-11,Platinum
1156,36,M,2023-01-05,Bronze
1157,33,F,2023-11-15,Bronze
1158,52,Non-Binary,2023-02-21,Silver
1159,38,M,2023-10-03,Silver
1160,40,M,2023-09-17,Silver
1161,56,F,2023-03-09,Bronze
1162,59,F,2024-03-27,Platinum
1163,31,M,2024-03-26,Silver
1164,22,M,2023-07-09,Silver
1165,46,F,2023-03-22,Bronze
1166,35,F,2024-03-02,Platinum
1167,26,Non-Binary,2023-12-27,Silver
1168,61,F,2023-11-10,Gold
1169,55,Non-Binary,2023-09-28,Bronze
1170,30,M,2023-12-08,Bronze
1171,26,Non-Binary,2023-06-03,Gold
1172,19,Non-Binary,2023-02-23,Bronze
1173,54,M,2023-05-16,Bronze
1174,25,M,2024-03-31,Bronze
1175,18,M,2024-01-16,Gold
1176,34,Non-Binary,2023-03-21,Gold
1177,42,F,2023-05-25,Silver
1178,53,Non-Binary,2023-04-18,Bronze
1179,48,Non-Binary,2023-06-25,Bronze
1180,61,M,2023-12-18,Silver
1181,44,Non-Binary,2024-03-12,Bronze
1182,36,F,2023-09-16,Bronze
1183,20,F,2023-05-09,Bronze
1184,45,M,2023-02-17,Silver
1185,37,Non-Binary,2023-08-05,Bronze
1186,58,F,2023-01-23,Silver
1187,20,M,2023-06-20,Silver
1188,42,M,2023-11-23,Gold
1189,55,F,2023-03-24,Bronze
1190,61,Non-Binary,2023-08-15,Platinum
1191,62,Non-Binary,2023-12-28,Bronze
1192,38,F,2023-10-15,Bronze
1193,38,M,2023-02-27,Platinum
1194,54,M,2024-04-28,Bronze
1195,36,Non-Binary,2024-04-07,Platinum
1196,35,M,2023-10-07,Bronze
1197,31,M,2024-03-03,Bronze
1198,18,F,2023-10-26,Silver
1199,20,Non-Binary,2023-03-17,Gold
1200,28,F,2023-03-07,Bronze
